cluster	axial count	mcr count	total occurrence
GC_00007270	1	0	1
GC_00007271	0	1	1
GC_00007272	0	1	1
GC_00007273	0	1	1
GC_00007274	1	0	1
GC_00007275	1	0	1
GC_00007276	1	0	1
GC_00007277	0	1	1
GC_00009457	0	1	1
GC_00002738	3	0	3
GC_00002739	2	0	3
GC_00002732	1	2	3
GC_00002733	2	0	3
GC_00002730	0	3	3
GC_00002731	1	1	3
GC_00002736	3	0	3
GC_00002737	2	1	3
GC_00002734	0	3	3
GC_00002735	0	3	3
GC_00008608	0	1	1
GC_00003179	0	2	2
GC_00003178	0	2	2
GC_00008609	1	0	1
GC_00003173	0	2	2
GC_00003172	0	2	2
GC_00003171	0	2	2
GC_00003170	0	2	2
GC_00003177	0	2	2
GC_00003176	0	2	2
GC_00003175	0	2	2
GC_00003174	0	2	2
GC_00004951	0	1	1
GC_00004778	1	0	1
GC_00004779	0	1	1
GC_00004774	1	0	1
GC_00004775	1	0	1
GC_00004776	1	0	1
GC_00004777	1	0	1
GC_00004770	1	0	1
GC_00004771	1	0	1
GC_00004772	0	1	1
GC_00004773	1	0	1
GC_00008603	1	0	1
GC_00008604	0	1	1
GC_00008605	0	1	1
GC_00004213	1	0	1
GC_00004198	1	0	1
GC_00004199	0	1	1
GC_00004190	1	0	1
GC_00004191	1	0	1
GC_00004192	0	1	1
GC_00004193	1	0	1
GC_00004194	1	0	1
GC_00004195	1	0	1
GC_00004196	0	1	1
GC_00004197	1	0	1
GC_00008392	1	0	1
GC_00008393	0	1	1
GC_00008390	1	0	1
GC_00008391	0	1	1
GC_00008396	0	1	1
GC_00008397	1	0	1
GC_00008394	1	0	1
GC_00008395	1	0	1
GC_00008398	0	1	1
GC_00008399	1	0	1
GC_00008560	0	1	1
GC_00001870	2	3	5
GC_00001871	5	0	5
GC_00001704	3	3	6
GC_00001873	1	4	5
GC_00001874	3	2	5
GC_00001875	3	2	5
GC_00001876	3	2	5
GC_00001877	3	1	5
GC_00001878	1	3	5
GC_00001879	2	3	5
GC_00005829	1	0	1
GC_00005828	0	1	1
GC_00001708	4	2	6
GC_00001709	6	0	6
GC_00006736	1	0	1
GC_00006737	1	0	1
GC_00006734	1	0	1
GC_00006735	1	0	1
GC_00006732	0	1	1
GC_00006733	1	0	1
GC_00006730	1	0	1
GC_00006731	0	1	1
GC_00006738	0	1	1
GC_00006739	0	1	1
GC_00004990	1	0	1
GC_00004991	1	0	1
GC_00000475	12	8	20
GC_00000474	12	8	20
GC_00004994	0	1	1
GC_00000472	9	8	20
GC_00000471	12	8	20
GC_00000470	13	7	20
GC_00004998	1	0	1
GC_00004999	1	0	1
GC_00000479	11	9	20
GC_00000478	11	9	20
GC_00008644	1	0	1
GC_00008645	0	1	1
GC_00008646	1	0	1
GC_00008647	1	0	1
GC_00008640	1	0	1
GC_00008641	1	0	1
GC_00008642	1	0	1
GC_00008643	1	0	1
GC_00008648	0	1	1
GC_00002644	2	1	3
GC_00006800	1	0	1
GC_00006801	0	1	1
GC_00006802	1	0	1
GC_00006844	0	1	1
GC_00006845	0	1	1
GC_00006846	1	0	1
GC_00006803	1	0	1
GC_00006840	0	1	1
GC_00006841	1	0	1
GC_00006842	0	1	1
GC_00006843	1	0	1
GC_00010065	0	1	1
GC_00006804	1	0	1
GC_00010067	0	1	1
GC_00010066	1	0	1
GC_00004216	1	0	1
GC_00006849	0	1	1
GC_00010063	0	1	1
GC_00006805	1	0	1
GC_00008701	1	0	1
GC_00008700	1	0	1
GC_00008703	0	1	1
GC_00008702	1	0	1
GC_00008705	0	1	1
GC_00006806	1	0	1
GC_00008707	0	1	1
GC_00008706	0	1	1
GC_00008709	0	1	1
GC_00008708	0	1	1
GC_00006807	1	0	1
GC_00008268	1	0	1
GC_00009956	0	1	1
GC_00009952	0	1	1
GC_00007465	0	1	1
GC_00007464	0	1	1
GC_00007467	1	0	1
GC_00007466	0	1	1
GC_00007461	1	0	1
GC_00007460	0	1	1
GC_00007463	1	0	1
GC_00007462	0	1	1
GC_00000266	11	9	22
GC_00009950	1	0	1
GC_00007469	1	0	1
GC_00007468	0	1	1
GC_00000267	12	8	22
GC_00005647	1	0	1
GC_00005646	0	1	1
GC_00005645	0	1	1
GC_00005644	0	1	1
GC_00005643	0	1	1
GC_00005642	1	0	1
GC_00005641	1	0	1
GC_00005640	1	0	1
GC_00009113	0	1	1
GC_00009112	1	0	1
GC_00009111	1	0	1
GC_00009110	1	0	1
GC_00009117	1	0	1
GC_00009116	0	1	1
GC_00005649	1	0	1
GC_00005648	1	0	1
GC_00006598	1	0	1
GC_00006599	1	0	1
GC_00006592	1	0	1
GC_00006593	1	0	1
GC_00006590	1	0	1
GC_00006591	0	1	1
GC_00006596	0	1	1
GC_00000268	12	9	22
GC_00006594	1	0	1
GC_00006595	0	1	1
GC_00007649	1	0	1
GC_00007648	0	1	1
GC_00000269	12	9	22
GC_00007641	1	0	1
GC_00007640	0	1	1
GC_00007643	1	0	1
GC_00007642	0	1	1
GC_00007645	1	0	1
GC_00007644	1	0	1
GC_00007647	1	0	1
GC_00004410	1	0	1
GC_00008746	1	0	1
GC_00002031	4	0	5
GC_00002030	4	1	5
GC_00002033	0	5	5
GC_00002032	2	2	5
GC_00002035	3	2	5
GC_00002034	3	2	5
GC_00002037	1	4	5
GC_00002036	3	1	5
GC_00002039	5	0	5
GC_00002038	2	3	5
GC_00008269	0	1	1
GC_00004412	1	0	1
GC_00004414	1	0	1
GC_00002699	2	0	3
GC_00002698	0	3	3
GC_00002695	0	2	3
GC_00002694	2	1	3
GC_00002697	3	0	3
GC_00002696	3	0	3
GC_00002691	2	1	3
GC_00002690	0	3	3
GC_00002693	0	3	3
GC_00002692	0	3	3
GC_00004417	1	0	1
GC_00003340	2	0	2
GC_00003341	0	2	2
GC_00003614	0	2	2
GC_00003615	2	0	2
GC_00003612	0	2	2
GC_00003613	2	0	2
GC_00003610	1	1	2
GC_00003611	0	2	2
GC_00003348	1	1	2
GC_00003349	2	0	2
GC_00003618	1	1	2
GC_00003619	1	1	2
GC_00004345	1	0	1
GC_00004344	0	1	1
GC_00004695	0	1	1
GC_00004346	1	0	1
GC_00004693	1	0	1
GC_00004340	1	0	1
GC_00004691	0	1	1
GC_00004342	1	0	1
GC_00004349	0	1	1
GC_00004348	1	0	1
GC_00004699	0	1	1
GC_00004698	1	0	1
GC_00002967	0	3	3
GC_00002966	1	2	3
GC_00002965	1	2	3
GC_00002964	0	3	3
GC_00002963	3	0	3
GC_00002962	0	1	3
GC_00002961	0	2	3
GC_00002960	1	0	3
GC_00002969	2	0	3
GC_00002968	1	2	3
GC_00008091	1	0	1
GC_00008090	1	0	1
GC_00008093	1	0	1
GC_00008092	1	0	1
GC_00008095	0	1	1
GC_00008094	1	0	1
GC_00008097	1	0	1
GC_00008096	1	0	1
GC_00008099	0	1	1
GC_00008098	0	1	1
GC_00005348	1	0	1
GC_00005349	0	1	1
GC_00005342	0	1	1
GC_00005343	0	1	1
GC_00005340	1	0	1
GC_00005341	1	0	1
GC_00005346	1	0	1
GC_00005347	1	0	1
GC_00005344	0	1	1
GC_00005345	1	0	1
GC_00000868	7	7	15
GC_00004528	0	1	1
GC_00000648	9	9	19
GC_00000649	9	9	19
GC_00004521	0	1	1
GC_00004520	0	1	1
GC_00004523	1	0	1
GC_00004522	1	0	1
GC_00004525	1	0	1
GC_00004524	0	1	1
GC_00004527	0	1	1
GC_00004526	0	1	1
GC_00001113	6	5	11
GC_00001112	5	6	11
GC_00001111	6	5	11
GC_00001110	4	3	11
GC_00001117	9	2	11
GC_00001116	8	2	11
GC_00005128	1	0	1
GC_00005129	0	1	1
GC_00005126	0	1	1
GC_00005127	1	0	1
GC_00005124	0	1	1
GC_00001118	5	6	11
GC_00005122	0	1	1
GC_00005123	1	0	1
GC_00005120	0	1	1
GC_00005121	1	0	1
GC_00010218	0	1	1
GC_00010219	1	0	1
GC_00009778	1	0	1
GC_00010212	1	0	1
GC_00010213	0	1	1
GC_00010210	0	1	1
GC_00010211	1	0	1
GC_00010216	0	1	1
GC_00010217	1	0	1
GC_00010214	1	0	1
GC_00010215	1	0	1
GC_00008128	1	0	1
GC_00006699	0	1	1
GC_00006698	0	1	1
